"","Beta.ANOVA","Beta.ASD","Beta.BD","Beta.ETOH","Beta.MDD","Beta.SCZ","Beta.Sex","Beta.Age","Beta.PMI","Beta.pH","Beta.RIN","Beta.RNAdeg","P.ANOVA","P.ASD","P.BD","P.ETOH","P.MDD","P.SCZ","P.Sex","P.Age","P.PMI","P.pH","P.RIN","P.RNAdeg","FDR.ANOVA","FDR.ASD","FDR.BD","FDR.ETOH","FDR.MDD","FDR.SCZ","FDR.Sex","FDR.Age","FDR.PMI","FDR.pH","FDR.RIN","FDR.RNAdeg"
"yellow",NA,0.0365768648256838,0.0195779927447352,-0.0301683854137161,-0.00606375822498655,0.0217175071442441,-0.00066037084557675,-0.000144960077186341,0.000142486089306085,-0.0115995402163079,-0.00231922471684147,-0.00416064820206143,8.94173624033101e-13,1.06045944675994e-05,0.000320697579627074,0.00303522973482936,0.260433679001508,1.03376063099668e-06,0.848859424891232,0.136346057314906,0.221199225975002,0.0564346094288229,0.196547482101342,0.13422153060018,2.56212828730895e-11,8.70693019445004e-05,0.00208453426757598,0.013966847549022,0.549022350327502,9.48627402561661e-06,0.934130947758038,0.357169763621477,0.492958275030005,0.18704256187901,0.45763294340014,0.357169763621477
"blue",NA,0.00463435522453582,0.00127755795162144,6.71068804005979e-05,0.0161607883200231,0.00461983784893415,-0.0014207307854774,-1.55410052104172e-05,-4.30563664150187e-05,-0.000141508479896447,0.00140501585236007,0.00174858628310213,0.0631296701848187,0.530497135974265,0.806222682742701,0.994969753655994,0.00177409264860862,0.278754730761116,0.681787595203707,0.873234797930921,0.711778911661792,0.982548425171156,0.343883272561281,0.573899753035366,0.193102520565328,0.8326564936627,0.934130947758038,0.994969753655994,0.00922528177276481,0.572180763141238,0.886323873764819,0.934130947758038,0.906974715265929,0.994969753655994,0.646334825536866,0.865006154926892
"green",NA,-0.0267863042514129,-0.0126637341559103,-0.0340080612127217,-0.00434464587370805,-0.0100674464006766,0.000690491501170462,7.57124911996267e-05,-8.35012066136822e-05,0.00769885097297453,0.00206575787473531,0.00123522094440992,0.000205384682064547,0.000807480008195022,0.019129130659822,0.00131380267665168,0.417127968989022,0.0223519474081715,0.842054207240377,0.436875978392702,0.473599371075602,0.212701915604615,0.195863837789816,0.653155953251725,0.00139304393052475,0.00466544004734901,0.079431348448173,0.00731975776991653,0.765552507791617,0.0894077896326859,0.934130947758038,0.783363823324845,0.786823329651874,0.487963218151765,0.45763294340014,0.878382144028182
"tan",NA,0.0163335142416418,-0.00736019247096921,-0.0363356115327451,-0.00382583992845651,-0.0152152382799877,0.00116758323920632,-0.000167740673044943,-0.000119231052523196,0.00798144586180295,-0.000941846868604363,0.00132821091477708,7.66525407402963e-06,0.0338484998758499,0.163834912673298,0.000581200261241272,0.465048750610386,0.000458560785279329,0.736147903439987,0.0846824875218224,0.306071616982144,0.185824947785987,0.594664958304983,0.63993523034858,6.64322019749234e-05,0.125722999538871,0.412229780274749,0.00348720156744763,0.786823329651874,0.00286141930014301,0.912486145866294,0.244638297285265,0.612143233964288,0.452948310228342,0.869896314617075,0.877025320111555
"brown",NA,0.0148176475001687,0.00725974582817946,-0.00491273472052998,-0.00306216813831236,0.00721580913238276,0.000428755990242811,-7.1210396094681e-05,5.34412873118397e-05,-0.00326467533681427,-0.00146094584047008,-0.00164625441187076,0.115522475104418,0.0587505482825096,0.177472405777517,0.645522171314543,0.565839362753017,0.100913654462685,0.901527456475882,0.464640128997975,0.646525075723261,0.596659651692481,0.330230473656454,0.533754162604295,0.321812609219451,0.18704256187901,0.439455480972899,0.877025320111555,0.865006154926892,0.286227819930524,0.943881095370722,0.786823329651874,0.877025320111555,0.869896314617075,0.635999430745764,0.8326564936627
"magenta",NA,0.00444772352908235,0.00160181110142561,0.114085577556048,-0.00829098390438195,-0.00153184912401293,0.00230112509372543,2.22517709830303e-05,0.000135877998001859,-0.00614959053449486,-0.00435867384760015,-0.00180505301578103,0,0.516287375382157,0.737008040892007,1.644583749047e-28,0.0794813608353078,0.694505885232843,0.506574505087517,0.819297057510191,0.243393473805109,0.323755870115709,0.0233715871973674,0.47411149350818,0,0.821845209792005,0.912486145866294,8.55183549504441e-27,0.233945137552981,0.895396017324988,0.814697142202605,0.934130947758038,0.520128519364344,0.631323946725632,0.0911491900697329,0.786823329651874
"black",NA,0.00881250157407333,0.000468164254763192,-0.0638548189307296,-0.00373153621493964,0.00284149215132284,3.60510085143973e-05,-7.73884883074706e-05,-5.08642157855409e-05,0.00205525982948522,0.000290201357946778,-0.00049354621492985,8.65759171020386e-08,0.241044971180698,0.928209639569631,1.75047667434598e-09,0.468579617925979,0.503506818680496,0.991699219998073,0.426788850693643,0.662490772494538,0.745353113778079,0.854397655564166,0.85933074599766,8.73148862565085e-07,0.520128519364344,0.950318149782245,2.48249419270884e-08,0.786823329651874,0.814697142202605,0.994969753655994,0.77417512451405,0.883321029992717,0.913185418613634,0.934130947758038,0.934130947758038
"turquoise",NA,-0.0390236800140559,-0.0141775598935851,0.0932479142714869,-0.00921708701553988,-0.0158051775873812,0.00191749275154349,0.000195194396214962,5.56075181510761e-05,0.00252479431622256,-0.000648997193795648,0.000380329917606379,0,1.94696051039622e-08,0.0029158036865802,1.08948387690913e-20,0.0499905495584841,5.29340578802468e-05,0.579974499668929,0.0447308244019203,0.633228744746495,0.678279828247687,0.736777008584605,0.886226796590959,0,2.33635261247547e-07,0.013966847549022,4.24898711994562e-19,0.173300571802745,0.000393224429967548,0.865006154926892,0.162279269923246,0.877025320111555,0.886323873764819,0.912486145866294,0.934130947758038
"salmon",NA,-0.0420826344856705,-0.0145433708959661,0.0201659925191664,-0.00251218240789845,-0.0128062692267773,0.00110739867002899,0.000184428935426802,-4.25352267597794e-05,0.00604530400276408,0.00213488092927403,0.00171915990832507,1.1425130619358e-08,8.95537294938548e-08,0.00600805900039319,0.0516313246194599,0.63128972474818,0.00304405651709454,0.749280343477854,0.0579406955035934,0.71511467934429,0.313446494097412,0.191830746610245,0.504716112096548,1.48526698051654e-07,8.73148862565085e-07,0.0260349223350371,0.175097535665994,0.877025320111555,0.013966847549022,0.913185418613634,0.18704256187901,0.906974715265929,0.618957633913878,0.45763294340014,0.814697142202605
"pink",NA,-0.0147676085251848,-0.00264076325095528,0.063746072813926,-0.00774241502536008,-0.00990557491775381,0.000295495586842528,7.40013428921702e-05,8.3570207765876e-05,-0.00181565080921439,-0.00147167873545381,-0.000536751975975353,6.73923583605074e-10,0.0490469001770897,0.609425907797088,1.39623352903412e-09,0.131037520669188,0.019348661801478,0.932042800747971,0.447314568585318,0.473233801986643,0.771576735578153,0.334416789361934,0.84313560692683,1.16813421158213e-08,0.173300571802745,0.875528916935352,2.17812430529322e-08,0.357169763621477,0.079431348448173,0.950318149782245,0.786823329651874,0.786823329651874,0.925892082693784,0.636207550493436,0.934130947758038
"red",NA,-0.00201914462927498,-0.000835596657409949,0.00100534710054647,-0.00321600020493227,-0.00542648401819921,-0.000610299507766782,-2.60306516311047e-05,2.24336687634886e-05,-0.000959839637505483,-0.000280750951052627,-0.000342716579322786,0.880886597507181,0.795968671246861,0.876752394788893,0.925475132314641,0.54700745844942,0.218059195807635,0.860196803641498,0.789278714126203,0.847353453115189,0.881023553524696,0.831533751760788,0.909053843063754,0.934130947758038,0.934130947758038,0.934130947758038,0.950318149782245,0.844882807109995,0.492958275030005,0.934130947758038,0.934130947758038,0.934130947758038,0.934130947758038,0.934130947758038,0.945415996786304
"purple",NA,-0.0425198482182344,-0.0162693262209298,0.04174607007765,-0.00774555136922489,-0.0165857256172171,0.00175869490482181,0.00017102963244799,-1.81818317826463e-05,0.00708510097634685,0.000977107545752822,0.00116634432431098,9.85433956657289e-13,7.27048510241584e-08,0.00200538811046599,4.61889393449862e-05,0.137372986008261,0.000116457962906967,0.611747768884317,0.0787424641874562,0.876023694657418,0.239878633586957,0.582215681200793,0.668548001160298,2.56212828730895e-11,8.10139768554908e-07,0.0100916304913772,0.000360273726890892,0.357169763621477,0.000825792827885768,0.875528916935352,0.233945137552981,0.934130947758038,0.520128519364344,0.865006154926892,0.88384312017802
"greenyellow",NA,0.0539697037256897,-0.0118466239799322,0.014212795980778,-0.0101807887883426,0.00133332461910946,0.00378376853230885,-0.000283856884408661,-5.67654434618611e-05,-0.00514506331496414,-0.00585413784254661,-0.0027254815680043,4.72755168345884e-12,1.99359212216668e-10,0.0292907637613708,0.158803584442509,0.0601554229558428,0.761778284171092,0.274634934155206,0.00345356391040263,0.626169223179023,0.35955306631984,0.00174597665013289,0.302993719701838,1.05356866088511e-10,3.88750463822503e-09,0.111447784067655,0.406120642180844,0.18768491962223,0.921220250625506,0.571240663042828,0.0153930277149374,0.877025320111555,0.667741408879702,0.00922528177276481,0.612143233964288
